gt_category_id,gt_category_name,pred_category_id,pred_category_name,top_k,iou_threshold,gt_count,loc_matched_count,pair_count,pair_fraction_of_gt,pair_fraction_of_loc_matched,mean_iou,mean_score,is_correct_category
144,n04118538,60,n02807133,100,0.5,2,2,1,0.5,0.5,0.9248117017063423,0.1883043497800827,False
144,n04118538,143,n04116512,100,0.5,2,2,1,0.5,0.5,0.86649763681832,0.22992350161075592,False
149,n04228054,36,n02391049,100,0.5,4,2,1,0.25,0.5,0.7452350687695979,0.0872042328119278,False
149,n04228054,37,n02395003,100,0.5,4,2,1,0.25,0.5,0.7737167642373803,0.07836639881134033,False
157,n04330267,163,n04379243,100,0.5,3,2,1,0.3333333333333333,0.5,0.6934767509591796,0.09391281008720398,False
173,n04540053,143,n04116512,100,0.5,2,2,1,0.5,0.5,0.8824788351231992,0.10306252539157867,False
180,n07583066,8,n01726692,100,0.5,2,2,1,0.5,0.5,0.5206365300227979,0.11362186819314957,False
180,n07583066,72,n02958343,100,0.5,2,2,1,0.5,0.5,0.7796660589581864,0.3335229456424713,False
182,n07693725,61,n02815834,100,0.5,2,2,1,0.5,0.5,0.9808201732965751,0.3202732503414154,False
182,n07693725,91,n03249569,100,0.5,2,2,1,0.5,0.5,0.9531323552295161,0.40670284628868103,False
2,n01443537,101,n03467517,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9815460208620047,0.21263909339904785,False
6,n01662784,1,n00007846,100,0.5,5,3,1,0.2,0.3333333333333333,0.55416916433636,0.16712190210819244,False
6,n01662784,7,n01674464,100,0.5,5,3,1,0.2,0.3333333333333333,0.8786898301656203,0.2912937104701996,False
35,n02374451,128,n03916031,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9433978649061228,0.017086461186408997,False
37,n02395003,123,n03804744,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.8820116825844685,0.17482773959636688,False
37,n02395003,200,n07880968,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9319393036568917,0.17485789954662323,False
41,n02419796,19,n02084071,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9061416115122664,0.03832124546170235,False
51,n02691156,6,n01662784,100,0.5,4,3,1,0.25,0.3333333333333333,0.5807008468654957,0.22862766683101654,False
51,n02691156,171,n04530566,100,0.5,4,3,1,0.25,0.3333333333333333,0.9633494322073787,0.31571924686431885,False
67,n02880940,72,n02958343,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9747441056694558,0.3335229456424713,False
74,n02992211,1,n00007846,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.7802969613074491,0.7879337072372437,False
74,n02992211,54,n02769748,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9454966396318426,0.2562713325023651,False
74,n02992211,90,n03211117,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.7717684229975832,0.21456071734428406,False
117,n03761084,65,n02870880,100,0.5,3,3,1,0.3333333333333333,0.3333333333333333,0.9728200456924982,0.11045427620410919,False
7,n01674464,9,n01770393,100,0.5,4,4,1,0.25,0.25,0.769240684284712,0.03015800565481186,False
7,n01674464,28,n02268443,100,0.5,4,4,1,0.25,0.25,0.8821618639753486,0.034939445555210114,False
63,n02834778,5,n01639765,100,0.5,5,4,1,0.2,0.25,0.71442221220189,0.15657468140125275,False
63,n02834778,72,n02958343,100,0.5,5,4,1,0.2,0.25,0.9332540583426219,0.3091576099395752,False
64,n02840245,139,n04026417,100,0.5,4,4,1,0.25,0.25,0.9479126016768794,0.16734276711940765,False
64,n02840245,163,n04379243,100,0.5,4,4,1,0.25,0.25,0.9642852249159269,0.10123179107904434,False
111,n03636649,37,n02395003,100,0.5,13,4,1,0.07692307692307693,0.25,0.7373068017414897,0.048247288912534714,False
