category_id,category_name,max_groups,high_support_runs,zero_hit_runs,transition,hit_rate_delta_latest_vs_base,nearest_iou_delta_latest_vs_base,base_groups,base_hits,base_hit_rate,base_mean_nearest_iou,base_zero_hit,full_lr_2ep_groups,full_lr_2ep_hits,full_lr_2ep_hit_rate,full_lr_2ep_mean_nearest_iou,full_lr_2ep_zero_hit,extra_low_lr_groups,extra_low_lr_hits,extra_low_lr_hit_rate,extra_low_lr_mean_nearest_iou,extra_low_lr_zero_hit
127,n03908714,13,0,0,no_high_support,0.0769230769231,0.0482366160195,9,0,0,0.545212508904,0,12,1,0.0833333333333,0.579278780768,0,13,1,0.0769230769231,0.593449124923,0
132,n03958227,13,0,0,no_high_support,0.181818181818,-0.0658150905991,13,0,0,0.321995951379,0,12,2,0.166666666667,0.126660696231,0,11,2,0.181818181818,0.25618086078,0
177,n04591157,13,0,0,no_high_support,-0.284615384615,0.00151957663206,10,9,0.9,0.493929049373,0,10,8,0.8,0.430034781247,0,13,8,0.615384615385,0.495448626005,0
186,n07714571,12,0,0,no_high_support,0,-0.469462946057,3,0,0,0.538104847074,0,1,0,0,0.792269408703,0,12,0,0,0.0686419010162,0
134,n03991062,11,0,0,no_high_support,0.232323232323,-0.014739623425,11,6,0.545454545455,0.492322940718,0,11,7,0.636363636364,0.477821998298,0,9,7,0.777777777778,0.477583317293,0
172,n04536866,11,0,0,no_high_support,0,0.0895277338175,7,0,0,0.343507904027,0,7,1,0.142857142857,0.392811534128,0,11,0,0,0.433035637845,0
84,n03128519,11,0,0,no_high_support,0,0.125594583594,11,4,0.363636363636,0.30725335516,0,8,4,0.5,0.406503416831,0,11,4,0.363636363636,0.432847938754,0
164,n04392985,10,0,0,no_high_support,0.4,0.0784081151709,10,2,0.2,0.0857946241274,0,7,3,0.428571428571,0.107411329235,0,10,6,0.6,0.164202739298,0
21,n02121808,10,0,0,no_high_support,-0.075,0.017800095334,8,3,0.375,0.436556922243,0,8,3,0.375,0.564324547071,0,10,3,0.3,0.454357017577,0
119,n03770439,8,0,0,no_high_support,0,0.0579533576965,3,0,0,0,0,4,0,0,0.239121384919,0,8,0,0,0.0579533576965,0
135,n03995372,8,0,0,no_high_support,-0.166666666667,-0.0398939823111,6,1,0.166666666667,0.576072966059,0,8,1,0.125,0.745062608272,0,8,0,0,0.536178983748,0
173,n04540053,8,0,0,no_high_support,0.375,0.102723423392,8,5,0.625,0.717782255262,0,6,5,0.833333333333,0.786409040292,0,4,4,1,0.820505678654,0
99,n03445777,8,0,0,no_high_support,0.142857142857,-0.113062939828,6,0,0,0.390494095782,0,8,2,0.25,0.441419474781,0,7,1,0.142857142857,0.277431155954,0
69,n02892767,7,0,0,no_high_support,0.190476190476,-0.0879392127196,7,1,0.142857142857,0.428586393595,0,4,3,0.75,0.283303201199,0,6,2,0.333333333333,0.340647180875,0
87,n03188531,7,0,0,no_high_support,0.142857142857,0.0902457035014,4,0,0,0.288881495595,0,3,0,0,0.212841503322,0,7,1,0.142857142857,0.379127199096,0
105,n03494278,6,0,0,no_high_support,0,0.172225008408,2,0,0,0.605909615755,0,6,0,0,0.726086974144,0,3,0,0,0.778134624163,0
112,n03642806,6,0,0,no_high_support,0.5,0.00925608476003,3,0,0,0.726791242758,0,4,1,0.25,0.6464978531,0,6,3,0.5,0.736047327518,0
122,n03797390,6,0,0,no_high_support,0.133333333333,0.267660804194,5,1,0.2,0.229416460358,0,6,2,0.333333333333,0.283926557364,0,6,2,0.333333333333,0.497077264551,0
20,n02118333,6,0,0,no_high_support,-0.0833333333333,0.384339436889,6,2,0.333333333333,0.48961494863,0,4,3,0.75,0.882958203554,0,4,1,0.25,0.873954385519,0
68,n02883205,6,0,0,no_high_support,0.666666666667,-0.0536289612452,3,0,0,0.568597634633,0,4,3,0.75,0.492272906005,0,6,4,0.666666666667,0.514968673388,0
85,n03134739,6,0,0,no_high_support,0.333333333333,0.003504494826,3,2,0.666666666667,0.758986612161,0,6,5,0.833333333333,0.741603811582,0,5,5,1,0.762491106987,0
141,n04070727,5,0,0,no_high_support,0,-0.106821012994,3,0,0,0.514527519544,0,5,0,0,0.537745589018,0,4,0,0,0.40770650655,0
165,n04409515,4,0,0,no_high_support,0.333333333333,0.0130392313004,3,1,0.333333333333,0.724855234226,0,4,1,0.25,0.629100076854,0,3,2,0.666666666667,0.737894465526,0
181,n07615774,4,0,0,no_high_support,0,-0.235335335135,4,0,0,0.33548501879,0,3,0,0,0.069820523262,0,4,0,0,0.100149683654,0
124,n03814639,3,0,0,no_high_support,1,0.595247149467,0,0,0,0,0,3,0,0,0.264132117232,0,2,2,1,0.595247149467,0
179,n06874185,3,0,0,no_high_support,-0.333333333333,-0.0869389176369,1,1,1,0.769845843315,0,2,1,0.5,0.730827599764,0,3,2,0.666666666667,0.682906925678,0
80,n03085013,3,0,0,no_high_support,0,-0.238920564453,3,0,0,0.497819330543,0,2,1,0.5,0.362053366378,0,3,0,0,0.25889876609,0
176,n04557648,1,0,0,no_high_support,0,0.0217925906181,1,1,1,0.847888886929,0,1,1,1,0.859842658043,0,1,1,1,0.869681477547,0
